Word,Sentence,Definition
Alectryomancy,"Leaders in antiquity sometimes resorted to alectryomancy, divining decisions through the behavior of roosters.",A form of divination using a rooster or chicken to select letters or predict the future.
Anfractuous,The anfractuous rhetoric of treaties masked their true intent: subjugation.,"Winding, intricate, or complex."
Bathysmal,The bathysmal depths of their exploitation remained unseen by the complacent elites.,Relating to or characteristic of deep ocean depths.
Cacodemon,"The propaganda machine conjured a cacodemon out of dissidents, painting them as existential threats.",An evil spirit or demon.
Cynosure,The cynosure of the revolutionary fervor was the promise of land for the dispossessed.,A focal point of admiration or attention.
Eremitic,"The eremitic intellectual retreated from society, penning critiques of empire in obscurity.",Characteristic of a hermit or recluse; solitary.
Floccinaucinihilipilification,The ruling elite's floccinaucinihilipilification of indigenous knowledge belied its profound value.,The action or habit of estimating something as worthless.
Horripilation,The horripilation of the crowd grew as they listened to the testimony of the war’s survivors.,The bristling of hairs due to fear or excitement; goosebumps.
Ichthyomancy,"In times of uncertainty, ichthyomancy was invoked, interpreting the movements of fish for divine guidance.",Divination by interpreting the behavior or entrails of fish.
Mumpsimus,"Despite overwhelming evidence, the officials clung to their mumpsimus, refusing to amend their flawed policies.","A stubborn adherence to an incorrect belief or practice, even after being shown it's wrong."
Noctilucent,The noctilucent skies above the battlefield seemed an eerie witness to the carnage below.,"Emitting a dim light in the darkness, especially clouds high in the atmosphere."
Obumbrate,The officials sought to obumbrate their complicity in the scandal through a barrage of misinformation.,To overshadow or obscure.
Peregrinate,"The scholar would peregrinate across continents, chronicling the remnants of lost civilizations.",To travel or wander from place to place.
Quinquennial,The quinquennial report masked the deeper malaise within the nation’s economy.,Occurring every five years.
Risibility,The risibility of the puppet leader masked the ruthless control exerted by his backers.,The ability or tendency to laugh.
Stygian,The stygian corridors of power remained impervious to the light of justice.,"Extremely dark, gloomy, or forbidding."
Tatterdemalion,"The revolutionaries, though tatterdemalion in appearance, carried the fervor of a thousand storms.",A person dressed in ragged clothing; a ragamuffin.
Ubiquitarian,The ubiquitarian presence of surveillance drones redefined the concept of personal freedom.,Existing or appearing everywhere.
Vaticination,The oracle’s vaticination warned of a great empire falling to its own hubris.,The act of prophesying; prediction.
Xanthic,The xanthic glow of the polluted river spoke volumes about the negligence of the ruling class.,Yellow or yellowish in color.
Yen,"The yen for liberation simmered quietly among the oppressed masses, awaiting the right spark.",A strong desire or craving.
Zaftig,The zaftig landscape of the fertile crescent belied the harsh conditions imposed by imperial forces.,"Having a full, rounded figure; plump, typically used to describe a woman."
Hapaxanthous,The hapaxanthous plant bloomed once before withering forever.,Producing flowers only once before dying.
Peregrination,Her peregrination across continents enriched her understanding of diverse cultures.,"A journey, especially a long or meandering one."
Sesquipedalian,The professor's sesquipedalian speech confused many in the audience.,Given to using long words.
Ebullition,The ebullition of public outrage was palpable after the announcement.,A sudden outburst or bubbling over of emotion.
Pulchritudinous,The pulchritudinous scenery left the travelers in awe.,Having great physical beauty or appeal.
Somniloquy,His somniloquy revealed his innermost thoughts to his roommates.,Talking in one's sleep.
Anomie,The anomie of the post-war period was exacerbated by policies that alienated the disenfranchised.,A state of social instability caused by the erosion of standards and values.
Nepenthe,The government propagated consumerism as a nepenthe to distract from systemic injustices.,"A drug or substance that banishes grief or trouble from the mind; metaphorically, anything used to forget pain."
Aceldama,"The battlefield became an aceldama, a testament to the futility of imperial ambitions.",A place of bloodshed or slaughter.
Jeremiad,The activist’s jeremiad against corporate exploitation galvanized a generation.,A prolonged lamentation or complaint; a cautionary or angry harangue.
Satrapy,"The resource-rich region was treated as a satrapy, its wealth extracted for foreign powers.","A province governed by a satrap, often used metaphorically for regions exploited by external authorities."
Aggrandize,The rulers sought to aggrandize their power by rewriting history to suit their narrative.,"To increase the power, wealth, or status of someone, often at the expense of others."
Iconoclasm,The revolutionaries' iconoclasm targeted not only statues but the ideologies they represented.,The action of attacking or rejecting cherished beliefs and institutions.
Synoecism,The synoecism of smaller states into empires often obliterated local customs and governance.,The amalgamation of communities or settlements into a single political or administrative entity.
Apocryphal,The official account of the uprising was riddled with apocryphal stories designed to discredit the movement.,"Of doubtful authenticity, though widely circulated as being true."
Eschatology,"The eschatology of the ruling class painted a bleak future for dissenters, weaponizing fear of the end times.",The part of theology or philosophy concerned with the final events of history or the ultimate destiny of humanity.
Gerrymander,The gerrymander of voting districts ensured the perpetuation of minority rule over the disenfranchised majority.,To manipulate the boundaries of an electoral constituency to favor one party or class.
Lacuna,The official record of events had a conspicuous lacuna where evidence of complicity should have been.,"An unfilled space or gap, often in a manuscript or record."
Mendacity,The mendacity of the regime's propaganda machine was rivaled only by its ruthlessness.,Untruthfulness; a tendency to lie.
Neocolonialism,"The economic policies were a thin veil for neocolonialism, ensuring dependency through debt.","The use of economic, political, cultural, or other pressures to control or influence a country, typically a former colony."
Ochlocracy,"The rulers decried the protests as ochlocracy, though it was their own corruption that had incited the masses.",Government by mob or crowd; mob rule.
Perfidy,"The perfidy of the treaty was evident as soon as the ink dried, betraying the weaker party's trust.",Deceitfulness; untrustworthiness.
Quisling,"The quisling betrayed his comrades, aligning with the oppressors to secure his own power.",A traitor who collaborates with an enemy occupying force.
Redact,"The files were heavily redacted, with crucial evidence hidden under layers of black ink.","To edit or prepare text for publication, often by removing sensitive or confidential information."
Usufruct,"The peasants were granted usufruct rights, though the land itself remained in the hands of the lords.",The legal right to use and derive profit from property that belongs to another person.
Xenophobia,"The regime stoked xenophobia to divert attention from its own failings, turning neighbor against neighbor.",Dislike of or prejudice against people from other countries.
Zeitgeist,"The zeitgeist of the 1960s was one of rebellion, questioning authority, and seeking freedom.",The defining spirit or mood of a particular period of history as shown by the ideas and beliefs of the time.
Antinomian,"The antinomian sect refused to abide by civil laws, citing divine authority as their justification.",Relating to the belief that Christians are released by grace from the obligation of following moral laws.
Betise,The politician's betise during the debate revealed a profound ignorance of the issues at hand.,A foolish or ill-timed remark or action; stupidity.
Clerisy,The clerisy of the empire ensured its intellectual dominance by suppressing alternative knowledge systems.,A distinct class of learned or literary people.
Cathexis,The cathexis of the public's emotions towards trivial distractions served to obscure systemic corruption.,"The investment of emotional significance in an activity, object, or idea."
Hegira,The hegira of persecuted communities throughout history reveals the enduring cruelty of imperial ambitions.,"A journey, especially one made for safety or as an escape from danger."
Lethologica,"In moments of lethologica, the speaker faltered, his rhetoric unable to mask the regime's failures.","The inability to remember a particular word or name, often temporarily."
Malversation,The malversation of public funds by the officials deepened the suffering of the populace.,"Corrupt behavior in a position of trust, especially in public office."
Vexillology,The vexillology of colonial flags revealed a history of conquest and subjugation.,The study of flags and their symbolism.
Anthropocentric,"The anthropocentric policies disregarded the ecological balance, prioritizing short-term profits over sustainability.",Considering human beings as the most significant entity of the universe.
Plutolatry,The society's plutolatry was evident in its reverence for wealth over moral integrity.,Worship or excessive reverence for wealth or the wealthy.
Thanatology,"The regime's policies seemed informed by thanatology, normalizing death as a tool of governance.",The scientific study of death and the practices associated with it.
Misology,The misology of the regime was evident in its disdain for critical thought and education.,A hatred or distrust of reason or logical argument.
Autarky,The autarky enforced by the government left the nation isolated and impoverished.,Economic independence or self-sufficiency.
Exsanguinate,The rural economy was exsanguinated by exploitative colonial taxation policies.,"To drain of blood, often used metaphorically for draining vitality or resources."
Perfidious,The perfidious betrayal of the treaty left the smaller nation vulnerable to annexation.,Deceitful and untrustworthy.
Iconolatry,The iconolatry of state symbols masked the emptiness of the government’s promises.,Worship or excessive reverence for icons or images.
Lugubrious,The lugubrious tone of the speech only deepened the citizens' despair.,Looking or sounding sad and dismal.
Nepotism,The nepotism in the royal court ensured that power remained concentrated in a few hands.,"The practice among those with power or influence of favoring relatives or friends, especially by giving them jobs."
Kakistocracy,The country’s descent into kakistocracy ensured that the least capable individuals held the most power.,Government by the least qualified or most unprincipled citizens.
Anachronistic,The anachronistic laws upheld by the regime revealed their refusal to embrace progress.,Belonging to a period other than that being portrayed; outdated.
Diaphanous,The diaphanous justifications for the war failed to obscure the real motives of profit and control.,"Light, delicate, and translucent; metaphorically thin or insubstantial."
Obsequious,The obsequious behavior of the ministers ensured their survival under the despotic regime.,Excessively submissive or eager to please.
Polyglot,"The empire's polyglot administration was both a strength and a weakness, fostering both unity and division.",Knowing or using several languages; a mixture of languages.
Xenogenesis,The myths of xenogenesis were invoked to justify the exclusion of outsiders from political power.,The production of offspring that are completely and permanently different from the parent.
Apotheosis,The apotheosis of the leader was orchestrated to obscure the brutality of his regime.,"The highest point in the development of something; culmination or climax, often deified."
Obloquy,The whistleblower endured obloquy from the establishment for exposing their misdeeds.,Strong public criticism or verbal abuse; disgrace brought about by such criticism.
Manichean,"The regime’s propaganda painted the conflict in Manichean terms, with no room for nuance.","Relating to dualistic views of good and evil, often oversimplified."
Sycophant,The sycophants surrounding the despot stifled any attempts at reform or dissent.,A person who acts obsequiously toward someone important to gain advantage.
Aposiopesis,The politician's aposiopesis during the debate left the audience wondering about the hidden truth.,"A sudden breaking off in the middle of a sentence, leaving the statement unfinished."
Balkanize,"The superpowers sought to balkanize the region, ensuring no single nation could challenge their dominance.","To divide a region or body into smaller, mutually hostile units."
Obfuscate,The government’s decision to obfuscate critical documents delayed justice for years.,"To render obscure, unclear, or unintelligible; to deliberately confuse."
Chicanery,The corporation’s use of legal chicanery to avoid accountability enraged the public.,"The use of trickery to achieve a political, financial, or legal purpose."
Effulgent,The effulgent promises of progress masked the stark inequalities perpetuated by the system.,"Shining brightly; radiant, often used metaphorically for brilliance."
Hegemony,The cultural hegemony of the empire ensured its narratives dominated global discourse.,"Leadership or dominance, especially by one state or social group over others."
Insidious,The insidious erosion of rights went unnoticed until it was too late to act.,"Proceeding in a gradual, subtle way, but with harmful effects."
Liminal,The liminal state of the displaced people reflected the uncertainty of their future.,Relating to a transitional or initial stage of a process; occupying a position at a boundary.
Onerous,The onerous demands of the imperial power drained the colony of its resources.,Involving a burdensome amount of effort or difficulty.
Propinquity,The propinquity of the military bases to civilian areas was a source of constant tension.,The state of being close to someone or something; proximity.
Quagmire,"The war devolved into a quagmire, with no clear path to resolution.","A soft, boggy area of land that gives way underfoot; a complex or hazardous situation."
Recalcitrant,The recalcitrant populace refused to bow to the decrees of the occupying force.,Having an obstinately uncooperative attitude toward authority or discipline.
Seminal,The seminal work of the dissident sparked a wave of intellectual rebellion.,Strongly influencing later developments; original and groundbreaking.
Turpitude,The moral turpitude of the elite was laid bare by the investigative journalists.,Depravity or wickedness.
Ululate,"The crowd began to ululate, mourning the loss of their freedom.","To howl or wail as an expression of strong emotion, typically grief."
Vatic,The vatic pronouncements of the poet seemed to foretell the upheaval to come.,Describing or predicting what will happen in the future; prophetic.
Weltanschauung,"The colonizers imposed their weltanschauung on the indigenous population, erasing centuries of local tradition.",A comprehensive worldview or philosophy of life.
Xerophytic,The xerophytic plants of the desert were a testament to resilience in the harshest conditions.,Adapted to survive in an environment with little water.
Ylem,"The philosopher compared the pre-revolutionary chaos to ylem, a state of primordial potential.","The primordial matter of the universe, especially as postulated in the Big Bang theory."
Zephyr,The zephyr that swept through the square carried whispers of rebellion.,"A soft, gentle breeze."
Aeipathy,The aeipathy of the oppressed for justice burned undiminished through decades of suffering.,An enduring passion or persistence of strong emotion.
Anathema,"The reformer’s ideas were considered anathema by the ruling elite, who saw them as a threat to their dominance.",Something or someone that one vehemently dislikes; a formal curse by a religious authority excommunicating someone.
Bathos,"The politician's speech, meant to inspire, descended into bathos as its insincerity became evident.",An abrupt transition from the lofty or grand to the trivial or mundane; anticlimax.
Claque,"The dictator surrounded himself with a claque, drowning out dissenting voices with orchestrated applause.",A group of people hired to applaud at performances or speeches; a sycophantic audience.
Eudaemonia,"The philosopher argued that true governance should aim for eudaemonia, ensuring the flourishing of all citizens.",A state of happiness or human flourishing; often linked to Aristotelian ethics.
Noctivagant,The noctivagant rebels moved under the cover of darkness to evade detection by the authorities.,Wandering at night.
Palinode,"Under pressure, the author published a palinode, retracting his earlier critique of the regime.",A poem or work in which the author retracts something said in an earlier work.
Xenial,The xenial traditions of the tribe stood in stark contrast to the exclusionary policies of the colonizers.,"Relating to hospitality or relations between a host and guest, especially strangers."
Ahisma,"Ahimsa blossomed in the hearts of the once-powerful, dissolving their grasping dominion and spreading waves of peace and loving-kindness across all realms, times, and beings.","The principle of nonviolence toward all living things, rooted in the recognition of interconnectedness and the sacredness of all life."
